track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
3g24dNvoTht2z2x9nS0RNv,Ustata,None,None,Debel,0,2018-11-19T15:00:05Z,0.804,0.802,1,-4.695,0,0.23,0.0205,0.0,0.121,0.459,150.892,217800,4
2epogWBs2vM62gyYS61qQi,Esil Dyuran,None,None,Tozi den,6,2018-08-24T10:53:12Z,0.612,0.847,2,-5.36,0,0.0476,0.0438,0.0,0.136,0.9570000000000001,152.006,234332,4
3wgBIrd1qepqP9AZB65cPU,Milko Kalaydzhiev,Arkan,None,Top si mi,17,2018-06-26T12:39:41Z,0.71,0.877,1,-5.213,1,0.128,0.013000000000000001,2.04e-05,0.29,0.81,91.975,241703,4
24JrQjyqlegUpF4CnHrEnA,Gloria,None,None,Dobre doshla skitnitse,5,2018-07-19T13:45:42Z,0.642,0.882,7,-4.842,0,0.042100000000000005,0.0264,3.34e-05,0.151,0.636,96.957,217617,4
4n7cNmnyUka2BCOkQfYZge,Dimana,Marina Toshich,None,Neka go boli,10,2018-07-25T13:43:19Z,0.775,0.904,7,-3.74,1,0.133,0.0268,0.0,0.157,0.586,95.997,240625,4
48yjREqU4dqqpZRfqkLhqK,Yunona,None,None,Izhod,4,2018-03-30T12:00:01Z,0.748,0.858,10,-4.404,0,0.20400000000000001,0.004220000000000001,0.0,0.223,0.907,184.059,182609,4
5kBgdw3a0mWuQUPiWeGPlB,Gergana,None,None,Tvoya,16,2018-12-21T14:00:07Z,0.715,0.922,4,-6.494,0,0.050100000000000006,0.10400000000000001,0.0,0.39,0.886,95.03,224837,4
6ztqXjpTxgRnkvgZ1HtCoX,Magda,Galena,None,"Nyama ""NE""",6,2018-09-20T11:00:07Z,0.715,0.934,5,-3.203,0,0.198,0.0716,0.0,0.0946,0.755,180.077,198882,4
0g5Pu8KzO8DncPOJ8o0lpi,Ustata,None,None,Davam se tseliya,7,2018-07-31T13:00:17Z,0.8310000000000001,0.883,7,-3.565,1,0.11,0.00723,0.0,0.0492,0.754,105.024,197312,4
4evnsSoHkz7HsGbP0toLrF,Trio Soprano,Miro,None,Ey taka,9,2018-09-18T12:00:09Z,0.591,0.896,1,-3.114,0,0.225,0.177,0.0,0.132,0.482,177.91,269663,4
5SpVcfxfQJBxYYRO07wHHJ,Las Canoplas,None,None,Carlos II,0,2018-08-29T13:00:28Z,0.188,0.9410000000000001,9,-11.58,1,0.0403,1.43e-05,0.926,0.0956,0.895,175.328,119116,4
3QTLaK1SIx9GSxzxZditWp,Maria & Magdalena,None,None,Za edna lyubov,5,2018-11-27T15:03:22Z,0.464,0.78,0,-3.701,0,0.038700000000000005,0.0907,4.31e-05,0.108,0.513,131.988,282958,4
6ELtmFBV3fUazwi2Y2saaM,Gergana,None,None,Samo za teb,7,2018-09-12T13:00:06Z,0.662,0.8300000000000001,5,-5.291,0,0.0386,0.218,0.0,0.307,0.395,127.977,236000,4
2dkDuwjOQ9lHqu1Feff9Vh,Georgia,None,None,Georgia,1,2018-11-29T14:56:19Z,0.63,0.924,5,-3.911,0,0.0918,0.0194,0.0,0.0668,0.665,131.924,189366,4
29GLHfsauq2gusEddNodBC,Valya,None,None,Iskam da me iskash,5,2018-07-12T12:00:00Z,0.549,0.9480000000000001,6,-4.737,0,0.0809,0.056600000000000004,2.71e-05,0.343,0.848,183.855,226152,4
6VUflHSrOmHtJxkvjvpJCK,RubberBand,None,None,Kampana Ng Ice Cream (Live),1,2018-07-27T14:00:07Z,0.467,0.618,2,-12.803,1,0.0644,0.00214,0.000281,0.594,0.582,121.599,194118,4
7iEm8nj5xcc13mcPqFEJfI,Denis,None,None,Shte se zaribish,7,2018-12-20T12:15:46Z,0.656,0.9500000000000001,9,-1.316,0,0.0473,0.0597,6.190000000000001e-05,0.0786,0.8280000000000001,95.987,207440,4
1RR1rekO0j7LWJ8OKgdZI9,Toni Dacheva,None,None,Igrach,5,2018-07-09T14:00:02Z,0.811,0.857,10,-4.515,0,0.191,0.022,0.0,0.178,0.657,98.066,215624,4
4VHDjEQolbk90BL2b90Z4q,Ekstra Nina,Kristis Kesaras,None,Politsay,4,2018-06-27T12:00:05Z,0.709,0.851,11,-6.212,1,0.0601,0.0675,0.00638,0.332,0.767,97.007,254845,4
67a9700i5uXRU0PLGAX4P4,Toni Dacheva,None,None,Chudoto lyubov,3,2018-09-19T10:22:04Z,0.545,0.763,8,-4.648,0,0.062200000000000005,0.031200000000000002,0.0,0.131,0.59,160.21,202500,4
